stratum,relation_id,reviewer_b_status,reviewer_b_id,reviewer_b_date,reviewer_b_reason
commentary_support,REL_02824,,,,
commentary_support,REL_03769,,,,
commentary_support,REL_03614,,,,
commentary_support,REL_01984,,,,
commentary_support,REL_03682,,,,
commentary_support,REL_02085,,,,
commentary_support,REL_03836,,,,
commentary_support,REL_02169,,,,
commentary_support,REL_03745,,,,
commentary_support,REL_02309,,,,
commentary_support,REL_02162,,,,
commentary_support,REL_02765,,,,
commentary_support,REL_04211,,,,
commentary_support,REL_02940,,,,
commentary_support,REL_02586,,,,
commentary_support,REL_03789,,,,
commentary_support,REL_01945,,,,
commentary_support,REL_01557,,,,
commentary_support,REL_03286,,,,
commentary_support,REL_02529,,,,
commentary_support,REL_02342,,,,
commentary_support,REL_01526,,,,
commentary_support,REL_03475,,,,
commentary_support,REL_01632,,,,
commentary_support,REL_03019,,,,
commentary_support,REL_03601,,,,
commentary_support,REL_02400,,,,
commentary_support,REL_02921,,,,
commentary_support,REL_01501,,,,
commentary_support,REL_02018,,,,
commentary_support,REL_02138,,,,
commentary_support,REL_03786,,,,
commentary_support,REL_01576,,,,
commentary_support,REL_03661,,,,
contraindication,REL_00592,,,,
differential,REL_00670,,,,
differential,REL_00651,,,,
differential,REL_00686,,,,
differential,REL_00636,,,,
differential,REL_00696,,,,
differential,REL_00679,,,,
differential,REL_00680,,,,
differential,REL_00690,,,,
differential,REL_00702,,,,
differential,REL_00606,,,,
differential,REL_00704,,,,
differential,REL_00644,,,,
differential,REL_00622,,,,
differential,REL_00623,,,,
mistreatment_transformation,REL_00580,,,,
mistreatment_transformation,REL_00565,,,,
mistreatment_transformation,REL_00561,,,,
mistreatment_transformation,REL_00541,,,,
mistreatment_transformation,REL_00546,,,,
mistreatment_transformation,REL_00545,,,,
same_formula_family,REL_00396,,,,
same_formula_family,REL_00418,,,,
same_formula_family,REL_00422,,,,
same_formula_family,REL_00481,,,,
same_formula_family,REL_00406,,,,
same_formula_family,REL_00465,,,,
same_formula_family,REL_00531,,,,
same_formula_family,REL_00404,,,,
same_formula_family,REL_00529,,,,
same_formula_family,REL_00502,,,,
same_formula_family,REL_00493,,,,
same_formula_family,REL_00392,,,,
same_formula_family,REL_00524,,,,
same_formula_family,REL_00448,,,,
same_formula_family,REL_00458,,,,
same_formula_family,REL_00537,,,,
same_formula_family,REL_00432,,,,
same_formula_family,REL_00456,,,,
sequence,REL_00296,,,,
sequence,REL_00156,,,,
sequence,REL_00252,,,,
sequence,REL_00127,,,,
sequence,REL_00162,,,,
sequence,REL_00212,,,,
sequence,REL_00166,,,,
sequence,REL_00363,,,,
sequence,REL_00030,,,,
sequence,REL_00287,,,,
sequence,REL_00025,,,,
sequence,REL_00160,,,,
sequence,REL_00128,,,,
sequence,REL_00032,,,,
sequence,REL_00161,,,,
sequence,REL_00243,,,,
sequence,REL_00076,,,,
sequence,REL_00284,,,,
sequence,REL_00125,,,,
sequence,REL_00310,,,,
sequence,REL_00072,,,,
sequence,REL_00354,,,,
sequence,REL_00298,,,,
sequence,REL_00302,,,,
sequence,REL_00201,,,,
sequence,REL_00339,,,,
sequence,REL_00155,,,,
sequence,REL_00208,,,,
sequence,REL_00254,,,,
sequence,REL_00144,,,,
sequence,REL_00246,,,,
sequence,REL_00277,,,,
sequence,REL_00111,,,,
sequence,REL_00319,,,,
sequence,REL_00139,,,,
sequence,REL_00044,,,,
sequence,REL_00372,,,,
sequence,REL_00276,,,,
sequence,REL_00233,,,,
sequence,REL_00329,,,,
sequence,REL_00290,,,,
sequence,REL_00097,,,,
sequence,REL_00368,,,,
sequence,REL_00054,,,,
sequence,REL_00384,,,,
transmission,REL_00712,,,,
variant,REL_01215,,,,
variant,REL_00878,,,,
variant,REL_00854,,,,
variant,REL_00915,,,,
variant,REL_00952,,,,
variant,REL_01234,,,,
variant,REL_01269,,,,
variant,REL_00874,,,,
variant,REL_01027,,,,
variant,REL_01068,,,,
variant,REL_01042,,,,
variant,REL_00739,,,,
variant,REL_01201,,,,
variant,REL_01051,,,,
variant,REL_01226,,,,
variant,REL_00830,,,,
variant,REL_01282,,,,
variant,REL_01189,,,,
variant,REL_01264,,,,
variant,REL_01324,,,,
variant,REL_01326,,,,
variant,REL_01003,,,,
variant,REL_01199,,,,
variant,REL_01125,,,,
variant,REL_01261,,,,
variant,REL_01143,,,,
variant,REL_00732,,,,
variant,REL_01021,,,,
variant,REL_01089,,,,
variant,REL_01262,,,,
variant,REL_00872,,,,
variant,REL_00717,,,,
variant,REL_00789,,,,
variant,REL_01057,,,,
variant,REL_00722,,,,
variant,REL_01156,,,,
variant,REL_01309,,,,
variant,REL_00879,,,,
variant,REL_00824,,,,
variant,REL_01287,,,,
variant,REL_00888,,,,
variant,REL_00889,,,,
variant,REL_01071,,,,
variant,REL_00766,,,,
variant,REL_00944,,,,
variant,REL_00923,,,,
variant,REL_00757,,,,
